#{"t_start": 1762689758.0443141, "env_id": "None"}
r,l,t
-896.0,500,6.188508
-575.8998,500,6.188847
-872.0,500,6.188867
-883.5,500,6.18888
-903.0,500,6.188888
-908.5,500,6.188895
-898.0,500,6.188902
-833.5,500,13.334519
-836.0,500,13.334597
-845.9,500,13.334614
-841.5,500,13.334624
-858.5,500,13.334633
-420.99997,500,13.334641
-763.49994,500,13.33465
-779.0,500,20.128845
-740.3,500,20.128898
-768.4,500,20.128915
-399.19974,500,20.128926
-792.5,500,20.128937
-784.0,500,20.128947
-732.6,500,20.128954
-469.4001,500,24.572998
-227.59999,500,24.573052
-781.0,500,24.573065
-762.5,500,24.573074
-758.5,500,24.573083
-795.0,500,24.573092
-339.69934,500,24.573102
-555.6998,500,32.351775
-768.89996,500,32.351922
-774.0,500,32.35194
-411.59988,500,32.351952
-847.0,500,32.351961
-274.6989,500,32.351969
-814.0,500,32.351976
-799.5,500,39.15696
-845.0,500,39.15702
-849.5,500,39.157039
-843.5,500,39.157048
-858.5,500,39.157055
-787.5,500,39.157062
-829.5,500,39.157069
-761.5,500,43.403061
-813.0,500,43.403119
-803.5,500,43.403137
-820.0,500,43.403149
-810.0,500,43.40316
-783.0,500,43.40317
-780.5,500,43.403178
-810.0,500,50.192986
-348.39957,500,50.193043
-783.5,500,50.193062
-771.0,500,50.193074
-696.4,500,50.193084
-751.0,500,50.193091
-773.0,500,50.193098
-814.5,500,57.01888
-793.5,500,57.01893
-839.0,500,57.018945
-383.89914,500,57.018955
-783.0,500,57.018963
-802.3,500,57.01897
-332.2988,500,57.018977
-829.5,500,63.865912
-751.5,500,63.865966
-776.5,500,63.86598
-774.5,500,63.865989
-764.0,500,63.865997
-321.4988,500,63.866005
-748.0,500,63.866012
-173.90068,500,68.159777
-704.5,500,68.159831
-694.5,500,68.159849
-522.4999,500,68.159859
-728.5,500,68.159868
-670.7999,500,68.159876
-727.0,500,68.159883
-749.5,500,74.919978
-714.8,500,74.920032
-514.49994,500,74.920046
-553.6998,500,74.920055
-443.49997,500,74.920066
-500.69992,500,74.920075
-364.2997,500,74.920083
-296.69934,500,81.781048
-778.5,500,81.781123
-785.0,500,81.781141
-789.5,500,81.781154
-747.5,500,81.781164
-322.09912,500,81.781174
-771.0,500,81.781181
-671.39996,500,86.023523
-735.0,500,86.023575
-218.60027,500,86.023591
-192.3001,500,86.023602
-768.5,500,86.023615
-203.60075,500,86.023622
-570.5998,500,86.02363
-377.69965,500,92.884953
-500.99994,500,92.885008
-217.99986,500,92.885023
-685.5,500,92.885036
-150.40111,500,92.885044
-686.0,500,92.885051
-197.8001,500,92.885059
-623.0999,500,99.720847
-136.9015,500,99.720916
-504.9,500,99.720936
-131.7014,500,99.720952
-295.39917,500,99.72096
-147.10094,500,99.720967
-747.5,500,99.720974
-721.2999,500,106.680543
-411.29977,500,106.680604
-431.09985,500,106.680618
-359.7995,500,106.680627
-406.2998,500,106.680638
-803.0,500,106.680648
-437.6,500,106.680658
-725.0,500,111.041626
-427.8999,500,111.04168
-163.50038,500,111.041694
-718.0,500,111.041705
-180.20085,500,111.041715
-316.19952,500,111.041723
-187.40053,500,111.041731
-632.09985,500,117.831961
-85.20195,500,117.832044
-76.301834,500,117.83206
-99.00139,500,117.832069
-122.80147,500,117.83208
-737.5,500,117.83209
-104.70152,500,117.832099
-749.5,500,124.638355
-137.0009,500,124.638415
-105.801926,500,124.638428
-296.49945,500,124.638438
-294.59937,500,124.638446
-358.7997,500,124.638454
-90.90181,500,124.638461
-380.7998,500,129.112373
-489.49988,500,129.11243
-372.79974,500,129.112444
-283.99933,500,129.112453
-350.09967,500,129.112462
-121.30156,500,129.11247
-609.69977,500,129.112477
-107.301865,500,135.921141
-708.5,500,135.9212
-81.00191,500,135.921214
-426.99994,500,135.921224
-384.6998,500,135.921233
-474.19995,500,135.921241
-298.39932,500,135.921249
-334.99948,500,142.783716
-437.59988,500,142.783768
-255.89955,500,142.783785
-128.20107,500,142.783795
-864.5,500,142.783803
-305.6995,500,142.783811
-331.5995,500,142.783819
-232.99974,500,149.614487
-231.59996,500,149.614561
-243.49971,500,149.614581
-135.60106,500,149.61459
-292.9994,500,149.614598
-223.5001,500,149.614606
-866.5,500,149.614613
-77.00191,500,153.878515
-69.90221,500,153.878594
-77.90175,500,153.878612
-212.70015,500,153.878621
-211.40001,500,153.878628
-74.80208,500,153.878635
-67.402054,500,153.878642
-69.80226,500,160.908589
-90.70213,500,160.908639
-737.0,500,160.908652
-224.90001,500,160.908662
-86.00188,500,160.908672
-86.20198,500,160.908681
-868.5,500,160.908688
-294.39917,500,168.29772
-272.09927,500,168.297784
-71.202255,500,168.2978
-270.09933,500,168.297809
-813.5,500,168.297817
-71.00203,500,168.297826
-261.59933,500,168.297836
-235.99971,500,172.941018
-804.5,500,172.941079
-830.5,500,172.941094
-225.90005,500,172.941103
-694.2,500,172.941112
-86.60191,500,172.941119
-216.30022,500,172.941126
-240.39955,500,179.779461
-874.5,500,179.779521
-469.6003,500,179.779535
-221.6999,500,179.779544
-849.5,500,179.779552
-214.0001,500,179.779559
-186.50044,500,179.779567
-204.80049,500,186.426646
-221.19989,500,186.426711
-195.9004,500,186.426726
-187.30064,500,186.426735
-782.0,500,186.426744
-205.00032,500,186.426752
-224.89995,500,186.426759
-217.99971,500,193.098151
-187.30058,500,193.098212
-198.10033,500,193.098229
-186.10039,500,193.098238
-350.0997,500,193.098249
-163.90074,500,193.098257
-277.59943,500,193.098264
-390.19977,500,197.282995
-198.30031,500,197.283054
-304.39954,500,197.283071
-203.30022,500,197.28308
-199.20042,500,197.283088
-215.9001,500,197.283096
-303.3994,500,197.283103
-262.1994,500,203.88432
-329.39957,500,203.884379
-202.30043,500,203.884401
-194.00038,500,203.884409
-201.00035,500,203.884418
-205.40025,500,203.884425
-192.10045,500,203.884432
-166.90092,500,210.482328
-154.50105,500,210.482392
-197.60045,500,210.482406
-244.69972,500,210.482414
-413.59973,500,210.482423
-203.2003,500,210.482432
-189.6006,500,210.482441
-237.69975,500,214.691778
-265.4994,500,214.691841
-199.80052,500,214.691864
-255.79951,500,214.691873
-238.49983,500,214.691886
-186.80055,500,214.691894
-230.49983,500,214.691901
-183.80046,500,221.283762
-432.89984,500,221.283818
-166.20082,500,221.283836
-151.40092,500,221.283845
-395.79974,500,221.283856
-176.50078,500,221.283864
-218.20006,500,221.283876
-172.60075,500,227.861152
-183.10066,500,227.861221
-158.60085,500,227.861237
